나이,성별,측정항목,평균,표준편차,샘플수
11,F,endurance,0.06220502711905098,0.9629475146130755,7110
11,F,flexibility,-0.03616187204532659,0.9705567344238661,7110
11,F,strength,-0.13440473431434596,0.6928777669187894,7110
11,M,endurance,0.011442402909833798,0.9642839388137536,7253
11,M,flexibility,0.0007405045613962521,0.9763528352825827,7253
11,M,strength,-0.1675773845430856,0.6704230851899491,7253
12,F,endurance,-0.19076387934733652,1.0842972830791062,2316
12,F,flexibility,0.11101725976274848,1.078281440653272,2316
12,F,strength,0.41166811901942996,0.6950756730708387,2316
12,M,endurance,-0.03238500532771462,1.0945209183289524,2565
12,M,flexibility,-0.0020949168473848494,1.0644359798113243,2565
12,M,strength,0.4739035993992203,0.7932001582056682,2565
13,F,endurance,0.17308202030248918,0.9956149257027287,1856
13,F,flexibility,-0.12911354782102427,0.9461253801525845,1856
13,F,strength,-0.17992336292564653,0.7126426009806928,1856
13,M,endurance,-0.13929459720769963,0.9705243262701037,2113
13,M,flexibility,-0.22963135441184837,0.8615318270344818,2113
13,M,strength,-0.6851789476540464,0.7096153084047933,2113
14,F,endurance,0.060753720974018786,0.9949629962341586,1813
14,F,flexibility,-0.03870380576629834,0.9662539871396573,1813
14,F,strength,-0.055843597708218416,0.6971663706036324,1813
14,M,endurance,0.04002962962789642,1.0156833802936018,2209
14,M,flexibility,-0.14224106134904804,0.9451431465355278,2209
14,M,strength,-0.3007581111978271,0.6858316371565747,2209
15,F,endurance,-0.00613608586862684,0.9285214304734762,3229
15,F,flexibility,-0.0031254414519230793,0.9892277632485117,3229
15,F,strength,-0.04420891838959431,0.6939829918503913,3229
15,M,endurance,0.040487037475397974,0.984063511117342,4174
15,M,flexibility,-0.04005092445303867,0.9985319776336361,4174
15,M,strength,-0.04768920852060374,0.6757080711998507,4174
16,F,endurance,0.011154771148885965,0.936598199097573,3879
16,F,flexibility,0.038192092302325585,1.025105335035873,3879
16,F,strength,0.039488519812838366,0.7086285506246528,3879
16,M,endurance,0.013432192057723577,0.9931168934434661,4986
16,M,flexibility,0.016538807336548125,0.9978653981604403,4986
16,M,strength,0.06901869796109106,0.6934302075829952,4986
17,F,endurance,-0.09999144280123108,0.8988980126151732,3970
17,F,flexibility,0.010303723202269863,1.0188545836253624,3970
17,F,strength,0.05737284794005038,0.7270422391598135,3970
17,M,endurance,-0.014529031556045569,0.9679786481566203,5536
17,M,flexibility,0.04318637009425413,1.050169957691877,5536
17,M,strength,0.17777876931809972,0.6931215032216264,5536
18,F,endurance,-0.042946551438824324,0.9622338607773393,1497
18,F,flexibility,0.08772825400200938,0.9968677997934774,1497
18,F,strength,0.1677039553460254,0.7513799226963507,1497
18,M,endurance,0.01423154319409038,0.927670138258158,3486
18,M,flexibility,0.18519111778821837,0.9938595299172116,3486
18,M,strength,0.31530975027825586,0.6750770569236152,3486
19,F,endurance,0.4391547649270271,0.8778916678012264,743
19,F,flexibility,-0.041901154316216216,1.2051465983540066,743
19,F,strength,0.2373573774777927,0.8431983956829786,743
19,M,endurance,0.6131582907030351,0.8874042132115626,3833
19,M,flexibility,0.11183431158881925,1.031049820050644,3833
19,M,strength,0.10854826123036786,0.7015338152929985,3833
20,F,endurance,0.4686543855286195,0.8739280834788103,597
20,F,flexibility,-0.13032365411912752,1.1197416950504873,597
20,F,strength,0.16647630846063652,0.7843357908880592,597
20,M,endurance,0.6523692205546178,0.8595268198408891,2020
20,M,flexibility,0.18015043175409023,1.0338271419805138,2020
20,M,strength,0.20769393315247525,0.7390067399561997,2020
21,F,endurance,0.545685107813443,0.8172955167989915,730
21,F,flexibility,0.007337556279229707,1.0875204018223257,730
21,F,strength,0.17365662099999998,0.7526345885717829,730
21,M,endurance,0.5363490092891566,0.8729378231889392,1006
21,M,flexibility,0.048137422543000005,1.0356884397512147,1006
21,M,strength,0.1567511847664016,0.7595205263266233,1006
22,F,endurance,0.5607395354098361,0.7135431821439658,977
22,F,flexibility,0.13203869924487704,0.954144793560499,977
22,F,strength,0.09220935884135106,0.676299611588479,977
22,M,endurance,0.5305437443010279,0.9114743701063456,688
22,M,flexibility,0.04482123220321638,1.0415035041252596,688
22,M,strength,0.17736953208139536,0.7435312819573922,688
23,F,endurance,0.6435606034781572,0.6993544440212389,1259
23,F,flexibility,0.2225684368181096,0.9057682945191429,1259
23,F,strength,0.12612956675536138,0.6574836166526457,1259
23,M,endurance,0.5799975591634919,0.8386381634662666,630
23,M,flexibility,0.03421286442971246,1.0334117932278413,630
23,M,strength,0.22887759351587303,0.7372013681754392,630
24,F,endurance,0.5711362177826385,0.7025229086946116,1466
24,F,flexibility,0.18274560028708134,0.9024941359914394,1466
24,F,strength,0.1502043430361528,0.6408836639410662,1466
24,M,endurance,0.4060113505976331,0.8279819657410304,848
24,M,flexibility,-0.07134305863657958,1.0089512517186552,848
24,M,strength,0.1289605985778302,0.7597614743540748,848
25,F,endurance,0.5298626338679928,0.6661984248900458,1106
25,F,flexibility,0.20267663707336958,0.8357336712931939,1106
25,F,strength,0.20661917784810124,0.6887511991757422,1106
25,M,endurance,0.2555748872782609,0.8076970752311629,920
25,M,flexibility,-0.159473359131952,1.0482411802232223,920
25,M,strength,0.04655868154456521,0.7022233165393591,920
26,F,endurance,0.49461259778813566,0.7249968732067675,710
26,F,flexibility,0.2119241499432624,0.9527419693837451,710
26,F,strength,0.21788658997464788,0.6809940991105212,710
26,M,endurance,0.3001789241208226,0.7882689478424598,780
26,M,flexibility,-0.10722332568992249,1.0535686853209452,780
26,M,strength,0.048743023452564094,0.7112593527213509,780
27,F,endurance,0.4690798233943662,0.7448610189091532,568
27,F,flexibility,0.1100380876360424,0.962106277170159,568
27,F,strength,0.2141612906232394,0.7235757091382181,568
27,M,endurance,0.23945871663636362,0.7659484664952865,792
27,M,flexibility,-0.15872255004683547,1.0349571436974723,792
27,M,strength,0.08459624228914141,0.764593712885543,792
28,F,endurance,0.289369435625,0.8477192343175401,404
28,F,flexibility,-0.02644984266246852,1.0947383576349832,404
28,F,strength,0.23005735678217823,0.7353902975527877,404
28,M,endurance,0.1693209312139673,0.8594991920476621,675
28,M,flexibility,-0.13229616286885243,1.0098589176629391,675
28,M,strength,0.1746374150177778,0.7559539691448235,675
29,F,endurance,0.20340921691874997,0.8902766958381864,320
29,F,flexibility,-0.11707597602848101,1.013345654641904,320
29,F,strength,0.14567144161874998,0.802930463253352,320
29,M,endurance,0.12145070667426273,0.8508875862858191,747
29,M,flexibility,-0.11939498129245282,1.0637527234257849,747
29,M,strength,0.18337264350870147,0.7429372557302429,747
30,F,endurance,0.18227231155251142,0.8190362622505382,220
30,F,flexibility,-0.12476797004587156,1.007399910296298,220
30,F,strength,0.25907436639545456,0.770556591804664,220
30,M,endurance,0.13523582168539328,0.7975190956994691,623
30,M,flexibility,-0.07374866666612903,0.9933944086564354,623
30,M,strength,0.2027596399727127,0.7077322537255931,623
31,F,endurance,0.14616544117733987,0.9123339623057918,205
31,F,flexibility,-0.0834884790049505,1.0607769155760216,205
31,F,strength,0.14048648054146343,0.8745018899893736,205
31,M,endurance,0.07780599319682541,0.808540573169128,631
31,M,flexibility,-0.06619921946507935,1.0677707314528142,631
31,M,strength,0.2038702589762282,0.7630241960354066,631
32,F,endurance,0.12282110391402716,0.8382415800248236,222
32,F,flexibility,-0.05405456642272727,1.1059489832671459,222
32,F,strength,0.19304873431981978,0.8531673215892059,222
32,M,endurance,-0.0039201321975945004,0.8016089091110674,582
32,M,flexibility,0.031669615084482745,1.0258802375237575,582
32,M,strength,0.2440874038075601,0.7979506266936846,582
33,F,endurance,0.07167931398787879,0.92509682529515,165
33,F,flexibility,-0.09573337120987654,1.0790537663602604,165
33,F,strength,0.03181224622424242,0.813467096471087,165
33,M,endurance,-0.01719156680120482,0.7947937444666999,499
33,M,flexibility,0.07690195408249498,1.053141206163964,499
33,M,strength,0.1975338980561122,0.7765656168992957,499
34,F,endurance,0.26242905331288346,1.204058226757633,163
34,F,flexibility,-0.036884234167701854,1.0223142008241273,163
34,F,strength,0.21231040474846627,0.7876296334111894,163
34,M,endurance,-0.060112738908256885,0.8114527712164209,436
34,M,flexibility,-0.08875030375638049,1.0091079882770446,436
34,M,strength,0.2719008791330275,0.7713150789163508,436
35,F,endurance,-0.014541295804878044,0.9600067982113849,123
35,F,flexibility,-0.1846157388333333,1.1235808940846765,123
35,F,strength,0.12235182182926828,0.9226810676552197,123
35,M,endurance,-0.07700765553061224,0.8561533753397328,392
35,M,flexibility,-0.04317566804336734,1.0131118815657347,392
35,M,strength,0.20510436340561225,0.7411332352405613,392
36,F,endurance,8.112071428572383e-05,0.9051158281412104,140
36,F,flexibility,-0.2070879794850746,1.1547284436649048,140
36,F,strength,0.06358255140714285,0.8897856333322979,140
36,M,endurance,-0.1280908855927835,0.8280670154830225,388
36,M,flexibility,-0.056890175778350524,0.974453734648545,388
36,M,strength,0.27788462592268043,0.7535849734624814,388
37,F,endurance,-0.031691752658333315,0.9943084829857649,122
37,F,flexibility,-0.46025228481818176,1.1315344242151544,122
37,F,strength,0.14508152967213114,0.8562197242469919,122
37,M,endurance,-0.10517945219104478,0.8621465229976001,336
37,M,flexibility,-0.009698651994011986,0.9438161626006056,336
37,M,strength,0.21066849516964284,0.7745719686956396,336
38,F,endurance,-0.2633254942575758,0.9361078751731821,133
38,F,flexibility,-0.21238571397727274,1.0689352375978474,133
38,F,strength,0.12151021366165414,0.8257318689422157,133
38,M,endurance,-0.09554426030526317,0.8603967736364794,285
38,M,flexibility,0.07257873822340426,0.9771318189676298,285
38,M,strength,0.29383094763508766,0.7801250508722932,285
39,F,endurance,-0.06739717832432432,0.860188559858599,113
39,F,flexibility,-0.154824859,1.0882577082086717,113
39,F,strength,0.22208840924778764,0.7800787913433801,113
39,M,endurance,-0.22824083375886525,0.793450107635434,283
39,M,flexibility,-0.05181135021276594,0.9785402243302975,283
39,M,strength,0.11344898351590108,0.7933697744253578,283
40,F,endurance,-0.1669781084615385,0.849200214473154,117
40,F,flexibility,-0.20979974743965513,1.104800228637574,117
40,F,strength,0.04051382208547007,0.6707460585589312,117
40,M,endurance,-0.2524082438821429,0.8328117836417792,280
40,M,flexibility,0.022911392286738358,0.955802694941899,280
40,M,strength,0.13750721057499998,0.6894751609769444,280
41,F,endurance,-0.39140869940410955,0.8646184295994158,148
41,F,flexibility,-0.3952952095655172,1.0668408447821134,148
41,F,strength,0.08026110803378379,0.8333748066806375,148
41,M,endurance,-0.38016869907046985,0.8388925948118654,298
41,M,flexibility,-0.015859439356902358,1.07623601641571,298
41,M,strength,0.1853027375,0.729897880830548,298
42,F,endurance,-0.3514280323546512,0.9661872342129166,173
42,F,flexibility,-0.14267635979411766,1.1285310439655154,173
42,F,strength,0.1610985921849711,0.8808783582869387,173
42,M,endurance,-0.2585089035748031,0.7477157639357548,254
42,M,flexibility,0.056147884409448824,0.9965826942570323,254
42,M,strength,0.16476276035433074,0.7970934455549726,254
43,F,endurance,-0.36652039941293535,0.9100719302809307,205
43,F,flexibility,-0.14509452741293533,1.0310652409322258,205
43,F,strength,0.09371180131219513,0.8198094999784376,205
43,M,endurance,-0.4213600504059406,0.73221030288021,303
